SKU,Product,Shipments with extra charge,Extra charged ($),By service,By type
LX2424SLV1114,Thin Border Picture Frame | Shatter-Resistant Plexiglass | Wall Art Display - 24x24 / Silver / 11x14,2,6.14,UPS Ground Saver $6.14,Carrier re-rate after label $6.14
CANFF1620COAK,Americanflat 16x20 Canvas Floating Frame with Adhesive Strips - Vertical and Horizontal Hanging Wall Frame for Gallery Artwork - Oak,16,6.12,FedEx (service not itemized) $6.12,Billed above label cost $6.12
CF1218BLK2810,"Americanflat 12x18 Collage Picture Frame with Shatter-Resistant Glass, Fits Two 8x10 Photos or One 12x18 Picture, Signature Collection ? Black",7,6.11,UPS Ground Saver $2.94; FedEx (service not itemized) $2.58; USPS Ground Advantage $0.59,Carrier re-rate after label $3.53; Billed above label cost $2.58
A281P225SHOW7174,"Americanflat 71 x 74 Shower Curtain, Indigo Version Finesse I Indigo Version by PI Creative Art",1,6.1,UPS Ground Saver $6.10,Carrier re-rate after label $6.10
PIN1585BLK,"Americanflat 15x8.5 Pin Display Case - Ideal for Enamel Pins, Medals, Jewelry, Memorabilia - Silhouette Collection - Black Pin Collection Display",9,6.09,FedEx (service not itemized) $6.09,Billed above label cost $6.09
332699206760005638,Americanflat 11x14 Collage Picture Frame - Displays (5) 4x6 Photos with Mat or (1) 11x14 Photo without Mat - Wall Gallery Decor - Shatter Resistant Glass - Hanging Hardware - White,2,6.07,USPS Ground Advantage $3.25; FedEx (service not itemized) $2.82,Carrier re-rate after label $3.25; Billed above label cost $2.82
343126403058761784,Americanflat 2 Pack of Picture Frames with Mat - Plexiglass Cover,2,6.05,USPS Ground Advantage $6.05,Carrier re-rate after label $6.05
PFF1114GLD810,Veranda Picture Frame | Fillet Accent | Mat Included | Shatter-Resistant - Americanflat - 11x14 / Gold,5,6.05,FedEx (service not itemized) $6.05,Billed above label cost $6.05
MP-WPC-GSD-1010-BLACK-88,"Americanflat 10x10 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",1,6.03,USPS Ground Advantage $6.03,Carrier re-rate after label $6.03
BJ5060BXCHKDBLU,Americanflat 50x60 Jacquard Fleece Throw Blanket - Dark Blue Checkered Polyester Fleece,1,6.03,FedEx (service not itemized) $6.03,Billed above label cost $6.03
MK-PD3-810-LWOOD,Americanflat 8x10 Picture Frame in Light Wood - Displays 5x7 With Mat and 8x10 Without Mat - Composite Wood with Shatter Resistant Glass  and Tabletop,2,6.01,USPS Ground Advantage $6.01,Carrier re-rate after label $6.01
PS1114WH5PK,Galleria Matted Picture Frame - 11x14 / White / 5 Pack,4,6.0,USPS (service not itemized) $3.65; FedEx (service not itemized) $2.35,Billed above label cost $6.00
CF1420BLK946,"Americanflat 14x20 Collage Picture Frame with Polished Plexiglass, Fits Nine 4x6 Photos or One 14x20 Photo, Signature Collection ? Black",3,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
MPCANGWA281P17171530,Americanflat Wildflowers Floral Canvas Wall Art Pink and Blush 15x30 Inch,1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
LX0507SLV,Americanflat Thin Picture Frame in Silver with Shatter Resistant Glass Horizontal and Vertical Formats for Wall and Tabletop - 5 x 7,1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
WB2228PNICKEL,Americanflat 22x28 Poster Frame in Silver with Polished Plexiglass - Horizontal and Vertical Formats with Included Hanging Hardware,1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
517544040925544462,"Americanflat Canvas Wall Art Featuring Beige, Blue, Green, Purple and White Tones - Gallery Wrap - Landscape Wall Art",1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
355375355141996564,"Americanflat 12x28 Collage Picture Frame - Fits One 8x10 Photo, Two 4x6 Photos, and Two 5x7 Photos or One 12x28 Photo",1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
343124438380904514,Americanflat Poster Frame - Perfect Frame for Photos and Artwork - Large Picture Frame - Polished Plexiglass - Hanging Hardware with Horizontal and Vertical Display,1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
MPCANFA281P17232436,Americanflat Nature-Inspired Canvas Wall Art with Gold Foil - 24x36,1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
340170812724084749,Americanflat Gallery Poster Frame - Wooden Picture Frame for Wall Art - Plexiglass Cover - Hanging Hardware for Horizontal or Vertical Display,1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
355375355141996562,"Americanflat 12x28 Collage Picture Frame - Fits One 8x10 Photo, Two 4x6 Photos, and Two 5x7 Photos or One 12x28 Photo",1,6.0,UPS Ground Saver $6.00,Carrier re-rate after label $6.00
329325489782685734,Americanflat Picture Frame with Wide Molding with Mat - Modern Wide Picture Frame - Plexiglass Cover - Hanging Hardware - Includes Easel,1,6.0,UPS (service not itemized) $6.00,Billed above label cost $6.00
LX0203BLKNOMAT,Americanflat 2x3 Picture Frame with Polished Crystal-Clear Glass - Streamline - Thin Border Photo Frame - Easel Stand Included - Black,4,5.98,FedEx (service not itemized) $5.98,Billed above label cost $5.98
FLAGCASEBWOODSMALL2,Americanflat Flag Case for Veterans - Fits a Folded 3' x 5' American Military Flag - Triangle Display with Polished Plexiglass (Barn Wood),2,5.98,UPS Ground Saver $5.98,Carrier re-rate after label $5.98
CFF0917BLK346,Americanflat 4x6 Collage Picture Frame - Fits Three 4x6 Photos or use as One 9x17 Frame -- Collage Frames with Floating Effect - Black,1,5.95,UPS Ground Saver $5.95,Carrier re-rate after label $5.95
A281P332SHOW7174,"Americanflat Abstract Shower Curtain by PI Creative Art, 71"" x 74""",9,5.9,FedEx (service not itemized) $5.90,Billed above label cost $5.90
A313P003SHOW7174,"Americanflat 71 x 74 Shower Curtain, Abstract Navy Gold by Lisa Nohren",1,5.9,UPS (service not itemized) $5.90,Billed above label cost $5.90
MP-PVC-LX-0912-WHITE,"Americanflat 9x12 Picture Frame - Modern Design, Shatter-Resistant Glass, PVC Frame - White",4,5.9,USPS Ground Advantage $5.90,Carrier re-rate after label $5.90
MP-PS-PFF-1620-SILVER-1114,Americanflat 16x20 Picture Frame with Decorative Inner Mat Accent - Displays 11x14 Photos with Mat or 16x20 Without - Silver,1,5.88,UPS (service not itemized) $5.88,Billed above label cost $5.88
MP-MDF-MF-0510-WALNUT,Americanflat 5x10 Business License Frame - Use as 3.5x8 Frame with Mat,1,5.86,USPS (service not itemized) $5.86,Carrier re-rate after label $5.86
405107760841949224,Americanflat Gallery Picture Frame - Set of 2 - Photo Frame for Wall Decor - Shatter Resistant Glass - Adjustable Hanging Hardware - Includes Easel for Tabletop Display - Black,1,5.84,USPS Ground Advantage $5.84,Carrier re-rate after label $5.84
MP-PES-SHOW-7275-WHITE-WAF-SL,"Americanflat 72x75 White Hookless Waffle Pattern Shower Curtain - Water-Resistant Long Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets",6,5.79,UPS Ground Saver $5.79,Carrier re-rate after label $5.79
MP-LX-1418-BLACK-57,Americanflat 5x7 Picture Frame With Oversized Mat 14x18 Frame - Shatter-Resistant Glass Front Cover - Black,3,5.79,FedEx (service not itemized) $3.40; USPS Ground Advantage $2.38,Carrier re-rate after label $5.79
LX2424WHT1212,Thin Border Picture Frame | Shatter-Resistant Plexiglass | Wall Art Display - 24x24 / White / 12x12,2,5.73,FedEx (service not itemized) $5.73,Billed above label cost $5.73
BSOL5060BRW,Americanflat 50x60 Fleece Throw Blanket - Brown Polyester Fleece,6,5.73,FedEx (service not itemized) $5.73,Billed above label cost $5.73
355375011544612915,Americanflat 12x12 Collage Picture Frame - Fits Four 4x6 Photos or One 12x12 Picture,1,5.71,UPS Ground Saver $5.71,Carrier re-rate after label $5.71
332699095090855951,Americanflat 8x20 Collage Picture Frame - Displays Four 4x6 Photos at Once - Family Photo Collage Frame - Shatter Resistant Glass - Hanging Hardware for Horizontal or Vertical Display - Black,1,5.71,UPS Ground Saver $5.71,Carrier re-rate after label $5.71
BJ3040BXCHKGRAY,Americanflat 30x40 Jacquard Kids Fleece Throw Blanket - Gray Checkered Polyester Fleece,8,5.69,FedEx (service not itemized) $5.69,Billed above label cost $5.69
MW8511PBRASS,Americanflat 8.5x11 Diploma Frame in Gold with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall and Tabletop,3,5.68,UPS Ground Saver $4.11; USPS Ground Advantage $1.57,Carrier re-rate after label $5.68
MP-PVC-LX-2128-BLACK,Americanflat 21x28 Poster Frame - Perfect for Photos and Artwork - Black,2,5.67,USPS Ground Advantage $5.67,Carrier re-rate after label $5.67
MP-MDF-HG-0810-WHITE,Americanflat 8x10 Hinged Picture Frame for 2 Photos - White,1,5.67,UPS Ground Saver $5.67,Carrier re-rate after label $5.67
MP-MDF-MW-1114-WHITE-57-2OP,Americanflat 11x14 Collage Picture Frame to Display 2 5x7 Photos at Once - White,1,5.67,UPS Ground Saver $5.67,Carrier re-rate after label $5.67
MP-WOVEN-SHOW-7171-PINK,Americanflat 71x71 Woven Linen Pink Shower Curtain with Tassel Accents - Includes 12 Grommets and Hooks - 100% Polyester,1,5.65,UPS (service not itemized) $5.65,Billed above label cost $5.65
MW1319PNICKEL,Americanflat 13x19 Picture Frame in Silver - Composite Wood with Shatter Resistant Glass,4,5.62,UPS Ground Saver $4.34; FedEx (service not itemized) $1.28,Carrier re-rate after label $4.34; Billed above label cost $1.28
LX0606BLK,Americanflat 6x6 Picture Frame with Shatter-Resistant Glass - Use as 4x4 Frame with Mat or 6x6 Frame Without Mat - Streamline Collection - Black,6,5.62,UPS Ground Saver $3.82; USPS Ground Advantage $1.59; FedEx (service not itemized) $0.20,Carrier re-rate after label $5.41; Billed above label cost $0.20
LX0507GREY,Americanflat 5x7 Picture Frame in Grey - Thin Border Frame Displays 4x6 With Mat and 5x7 Without Mat - Horizontal and Vertical Formats,2,5.6,UPS (service not itemized) $5.60,Carrier re-rate after label $4.62; Billed above label cost $0.98
MP-WPC-GSD-1824-WHITE,"Americanflat 18x24 Gallery-Style Picture Frame to Secure Artwork, Prints, and Photos - White",2,5.59,UPS Ground Saver $5.59,Carrier re-rate after label $5.59
MP-PES-SHOW-A281P066-7174,71x74 Blue Floral Shower Curtain - 100% Polyester - Water-Resistant Bath Curtain,3,5.56,UPS Ground Saver $5.56,Carrier re-rate after label $5.56
MP-MDF-WBDIST-0810-DBLACK,Americanflat Rustic Picture Frame - Unique Farmhouse Look - 8x10 - Charcoal Black,1,5.56,UPS Ground Saver $5.56,Carrier re-rate after label $5.56
MP-WPC-GSD-0507-BLACK-46,Picture Frame | Gallery Style | With Mat | Protective Glass | Wall Art Display - 5x7 / Black,1,5.55,USPS Ground Advantage $5.55,Carrier re-rate after label $5.55
LX0810WHT,Streamline Matted Picture Frame - 8x10 with 5x7 Mat / White / 1 Pack,1,5.55,UPS Ground Saver $5.55,Carrier re-rate after label $5.55
OCFHGBV0406BLK,"Americanflat Hinged 4x6 Picture Frame with Wide, Beveled Molding and Shatter-Resistant Glass - Modern Frame Two 4x6 Photos - Black",2,5.51,FedEx (service not itemized) $5.51,Billed above label cost $5.51
MP-METAL-BAM-0507-SILVER,"Americanflat 5""x7"" Picture Frame with Bamboo-Style Molding and Shatter-Resistant Glass - Gallery Style Frames for Tabletop or Wall Display - Silver",4,5.49,USPS Ground Advantage $2.29; UPS (service not itemized) $2.24; UPS Ground Saver $0.90; FedEx (service not itemized) $0.05,Billed above label cost $4.59; Carrier re-rate after label $0.90
MP-PES-SHOW-GEO2-7275-GRAY-SL,"Americanflat 72x75 Hookless Shower Curtain - Gray Plaid Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets - 100% Polyester",5,5.48,UPS Ground Saver $5.48,Carrier re-rate after label $5.48
CPT5060CCLOUDGREY,Americanflat Omala Throw Blanket in Cloud Grey and White Mini Diamond - 100% Cotton with Fringe - 50 x 60,1,5.48,UPS Ground Saver $5.48,Carrier re-rate after label $5.48
MW0917BLKNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 9x17,1,5.48,UPS Ground Saver $5.48,Carrier re-rate after label $5.48
OVF0406SLV,Americanflat 4x6 Picture Frame with Shatter-Resistant Glass - Vintage Frames with Easel - Ornate Picture Frames for Wall and Tabletop Display Silver,3,5.48,FedEx (service not itemized) $5.48,Billed above label cost $5.48
MW8511BKC,Americanflat 8.5x11 Diploma Frame with Shatter-Resistant Glass - Document Frame with Engineered Wood - Legacy Collection - Black,2,5.48,UPS (service not itemized) $4.87; UPS Ground Saver $0.61,Carrier re-rate after label $5.48
MP-METAL-HG-BV-0507-SILVER,"Americanflat Hinged 5""x7"" Picture Frame with Wide, Beveled Molding and Shatter-Resistant Glass-Metal Picture Frame Displays Two 5""x7"" Photos - Silver",5,5.46,UPS Ground Saver $3.15; USPS Ground Advantage $2.20; FedEx (service not itemized) $0.10; UPS (service not itemized) $0.01,Carrier re-rate after label $5.35; Billed above label cost $0.11
MP-PVC-LX-0912-BLACK,"Americanflat 9x12 Picture Frame - Modern Design, Shatter-Resistant Glass, PVC Frame - Black",1,5.41,USPS Ground Advantage $5.41,Carrier re-rate after label $5.41
FLAGCASEBWOOD,Burial Flag Display Case | Memorial Frame for Veterans - Large / Barnwood,2,5.37,UPS Ground Saver $5.37,Carrier re-rate after label $5.37
MP-PVC-LX-0507-BLACK-46-2PK,"Americanflat 5x7 Picture Frame with 4x6 Mat - Modern Design, Shatter-Resistant Glass 2 Pack - Black",3,5.35,UPS Ground Saver $5.35,Carrier re-rate after label $5.35
OCFBEA0507SLV,Americanflat 5x7 Picture Frame with Beaded-Style Detailing - Beaded Picture Frame with Shatter-Resistant Glass - Gallery Style Frames - Silver,3,5.34,FedEx (service not itemized) $5.34,Billed above label cost $5.34
MP-WPC-GSD-1824-BLACK,Picture Frame | Gallery Style | Secure Artwork and Photos | Wall Art Decor - 18x24 / Black,1,5.32,USPS Ground Advantage $5.32,Carrier re-rate after label $5.32
PRO_MW1114WALNUT2PK,"Americanflat 11x14 Picture Frame with Mat for 8x10, Walnut, 2 Pack",2,5.31,FedEx (service not itemized) $4.99; UPS Ground Saver $0.32,Billed above label cost $4.99; Carrier re-rate after label $0.32
319399803616313399,"Americanflat Floating Picture Frame for Wall Art - Photo Frame with Floating Effect for Photos, Wall Art, and Pressed Flowers - Polished Glass Cover - Hanging Hardware",1,5.29,UPS Ground Saver $5.29,Billed above label cost $5.29
SB1620WHT,Silhouette Keepsake Shadow Box - 16x20 / White,2,5.28,UPS Ground Saver $5.28,Carrier re-rate after label $5.28
MP-WPC-GSD-1216-BLACK-812,"Americanflat 12x16 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",6,5.27,USPS Ground Advantage $4.99; FedEx (service not itemized) $0.28,Carrier re-rate after label $4.99; Billed above label cost $0.28
SIFBLK20283PK,Fusion Picture Frame - 20x28 / Black / 3 Pack,2,5.26,FedEx (service not itemized) $3.26; UPS Ground Saver $2.00,Billed above label cost $3.26; Carrier re-rate after label $2.00
MW8511DWOOD,Americanflat 8.5x11 Diploma Frame in Driftwood with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall and Tabletop,2,5.23,UPS Ground Saver $5.23,Carrier re-rate after label $5.23
FF1114PBRASS,Signature Float Picture Frame - 11x14 / Gold,1,5.22,FedEx (service not itemized) $5.22,Billed above label cost $5.22
VF1620GLD1114,Heirloom Picture Frame - 16x20 / Golden / Vintage frame,1,5.21,FedEx (service not itemized) $5.21,Billed above label cost $5.21
MW0816WALNUT357,Americanflat Picture Frame | Collage | Three 5x7 Openings with Classic Molding | Signature Collection - 8x16 / Walnut,1,5.2,UPS Ground Saver $5.20,Carrier re-rate after label $5.20
MP-PES-SHOW-7174-BLACKOMBRE,Americanflat 71x74 Ombre Black Shower Curtain - Water Resistant - Polyester Fabric,2,5.19,UPS Ground Saver $5.19,Carrier re-rate after label $5.19
381758871950360585,Americanflat 15x8.5 Pin Display Case with Shatter-Resistant Glass - Black,1,5.17,UPS (service not itemized) $5.17,Carrier re-rate after label $5.17
MP-MDF-GSK-0406-BLACK-6PK,Picture Frame Set to Enhance Wall Decor - 6 Pack,1,5.17,UPS Ground Saver $5.17,Carrier re-rate after label $5.17
WMW1616MAH1212,Hudson Picture Frame - 16x16 / Mahogany / 12x12,1,5.16,FedEx (service not itemized) $5.16,Billed above label cost $5.16
PS1114MAH8115PK,Classic Gallery Picture Frame | Set of 5 | Galleria Collection | Includes Mat - 11x14 with 8x11 Mat / Mahogany,1,5.16,FedEx (service not itemized) $5.16,Billed above label cost $5.16
STF0406BLK23,Americanflat 4x6 Picture Frame with Storage - Use as 2x3 Frame for Instant-Print Photos - Quick Change Storage Frames Holds up to 40 Photos - Modern,2,5.16,FedEx (service not itemized) $5.16,Billed above label cost $5.16
WMW1218PBRASS1117,Oversized Gallery Picture Frame with Mat | Hudson Collection - 12x18 / Gold / 11x17,1,5.15,FedEx (service not itemized) $5.15,Carrier re-rate after label $5.15
WB1626BLK,Americanflat 16x26 Picture Frame  - Black Picture Frame - Wide Photo Frames Made of Engineered Wood - Epic Collection - Black,5,5.15,FedEx (service not itemized) $5.15,Billed above label cost $5.15
392145069937115144,Americanflat Set of 4 Picture Frames - Gallery Wall Frame Set with Two 16x20 Frames with 6x8 Mats and Two 16x16 Frames with 5x7 Mats - Black,1,5.13,UPS Ground Saver $5.13,Carrier re-rate after label $5.13
PS1620MAH12162PK,Americanflat 16x20 Picture Frame with Polished Plexiglass - Set of 2 - Use as 12x16 Frame with Mat or Display 16x20 Photo Without Mat - Galleria,1,5.12,USPS Ground Advantage $5.12,Carrier re-rate after label $5.12
LX8511MAH,Americanflat Thin Picture Frame in Mahogany with Shatter Resistant Glass for Wall and Tabletop - Picture Size 8.5x11,6,5.12,FedEx (service not itemized) $3.66; UPS Ground Saver $1.46,Billed above label cost $3.66; Carrier re-rate after label $1.46
MP-WPC-GSD-1218-WHITE-1117,"Americanflat 12x18 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - White",2,5.1,USPS Ground Advantage $5.10,Carrier re-rate after label $5.10
LX1319BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 13x19 / Black,4,5.09,UPS Ground Saver $4.61; FedEx (service not itemized) $0.48,Carrier re-rate after label $4.61; Billed above label cost $0.48
MWMAH07MULTIPK,Americanflat Picture Frame in Mahogany MDF / Shatter Resistant Glass Horizontal and Vertical Formats for Wall - Pack of 7,1,5.09,USPS Ground Advantage $5.09,Carrier re-rate after label $5.09
MP-PES-SHOW-7275-DARKGRAY-WAF-SL,"Americanflat 72x75 Grey Hookless Waffle Pattern Shower Curtain - Water-Resistant Long Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets",5,5.07,UPS Ground Saver $5.07,Carrier re-rate after label $5.07
FIGDC1414BLK,Americanflat 14x14 Minifigure Display Case with Polished Plexiglass - Holds 28 Minifigures - Wall-Mounted Building Block Toy Display - Black,2,5.06,UPS Ground Saver $5.06,Carrier re-rate after label $5.06
MP-MDF-A3-WHITE,Picture Frame | Poster Frame | Wall Decor | For Photos Documents and Artwork - A3 / White,1,5.06,UPS Ground Saver $5.06,Carrier re-rate after label $5.06
KAFBLK2OP,Americanflat 8.5x11 Kids Art Storage Picture Frame - Home Gallery Wall Decor for Photos and Art Signature Collection Professional Quality - Black,2,5.06,FedEx (service not itemized) $5.06,Billed above label cost $5.06
319415553970470969,Americanflat Tri-Folding Picture Frame - Displays Two Photos at Once - Double Hinged Picture Frame - Shatter Resistant Glass - Tabletop Display Picture Frame - Black,1,5.04,UPS Ground Saver $5.04,Carrier re-rate after label $5.04
MP-WPC-GSD-1117-WHITE,"Americanflat 11x17 Gallery-Style Picture Frame to Secure Artwork, Prints, and Photos - White",1,5.04,UPS Ground Saver $5.04,Carrier re-rate after label $5.04
257803147024973864,Americanflat 10x12.5 Kids Art Frame - 8.5x11 with Mat or 10x12.5 without Mat - Kids Artwork Frame - Magnetic Frame Closure - Shatter Resistant Glass - Hanging Hardware,1,5.04,UPS Ground Saver $5.04,Carrier re-rate after label $5.04
LX0609BLKNOMAT,Streamline Picture Frame - 6x9 / Black / 1 Pack,2,5.04,UPS Ground Saver $4.88; FedEx (service not itemized) $0.15,Carrier re-rate after label $4.88; Billed above label cost $0.15
MW1218LWOOD,Americanflat 12x18 Light Wood Picture Frame - Composite Wood with Shatter Resistant Glass,3,5.03,UPS Ground Saver $3.67; USPS Ground Advantage $1.24; FedEx (service not itemized) $0.12,Carrier re-rate after label $4.91; Billed above label cost $0.12
319399803616313407,"Americanflat Floating Picture Frame for Wall Art - Photo Frame with Floating Effect for Photos, Wall Art, and Pressed Flowers - Polished Glass Cover - Hanging Hardware",2,5.02,USPS Ground Advantage $4.70; UPS Ground Saver $0.32,Carrier re-rate after label $5.02
LX1723BLK1319,Streamline Matted Picture Frame - 17x23 with 13x19 Mat / Black / 1 Pack,1,5.0,FedEx (service not itemized) $5.00,Billed above label cost $5.00
SB1212MH1010,Shadow Box Keepsake Frame with Mat | Silhouette Collection - 12x12 / Mahogany,4,5.0,USPS Ground Advantage $4.86; FedEx (service not itemized) $0.14,Carrier re-rate after label $4.86; Billed above label cost $0.14
PS0810BK572PK,"Americanflat 8x10 Picture Frame with Mat for 5x7, Black, 2 Pack",3,4.98,FedEx (service not itemized) $4.98,Billed above label cost $4.98
MP-PVC-LX-0606-BLACK-44-2PK,"Americanflat 6x6 Picture Frame with 4x4 Mat - Modern Design, Shatter-Resistant Glass 2 Pack - Black",4,4.97,UPS Ground Saver $4.97,Carrier re-rate after label $4.97
MPCANGWA281P17202424,"Americanflat 24x24 Canvas Wall Art Featuring Blue, Grey and Neutral Tones - Gallery Wrap - Landscape Wall Art",2,4.97,UPS Ground Saver $4.97,Carrier re-rate after label $4.97
319399087065858075,Americanflat A2 A3 A4 A5 Poster Frame - Picture Frame to Display Posters - Ideal for Documents and Artwork - Plexiglass Cover - Adjustable Hanging Hardware - Includes Easel,3,4.97,UPS Ground Saver $4.94; FedEx (service not itemized) $0.03,Carrier re-rate after label $4.94; Billed above label cost $0.03
PS0812NAOAK685PK,Americanflat 8x12 Picture Frame with Polished Plexiglass - Set of 5 - Use as 6x8 Frame with Mat or Display 8x12 Photo Without Mat - Galleria,3,4.96,UPS Ground Saver $2.91; FedEx (service not itemized) $2.05,Carrier re-rate after label $2.91; Billed above label cost $2.05
PS0912WH682PK,"Americanflat 9x12 Picture Frame with Mat for 6x8, White, 2 Pack",2,4.93,FedEx (service not itemized) $4.13; UPS Ground Saver $0.80,Billed above label cost $4.13; Carrier re-rate after label $0.80
289025657432293382,Americanflat 12x18 Picture Frame - Composite Wood Picture Frame for Wall Display - Plexiglass Cover - Hanging Hardware for Horizontal and Verticle Display - Black,2,4.92,UPS Ground Saver $4.92,Carrier re-rate after label $4.92
517544161184628752,Americanflat Botanical Canvas Wall Art Featuring Cream Leaf Silhouettes - Black Background - Set of 3 - Gallery Wrap - Modern Wall Art,1,4.9,UPS Ground Saver $4.90,Carrier re-rate after label $4.90
GSD1218BLK,Deep Molding Picture Frame | Americanflat | No Mat | Modern - Premium Quality - 12x18 / Black,1,4.9,UPS Ground Saver $4.90,Carrier re-rate after label $4.90
GSK0505BLK12PK,Americanflat 5x5 Picture Frame with Polished Plexiglass - Set of 12 - Signature Collection - Picture Frames with Engineered Wood - Square Frame,5,4.89,FedEx (service not itemized) $4.89,Billed above label cost $4.89
MPFLEBRSV5060OPGRN,Americanflat - Fleece and Faux Shearling Throw Blanket - Oversize Plaid - 50x60 Inch - Green,1,4.87,FedEx (service not itemized) $4.87,Billed above label cost $4.87
343081422288175153,Americanflat Picture Frame Set with Mat - Set of 5 - Photo Frame Set of Five for Wall Display - Plexiglass Cover - Hanging Hardware,1,4.87,FedEx (service not itemized) $4.87,Billed above label cost $4.87
LX0507WHT,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 5x7 / White,3,4.85,UPS (service not itemized) $3.15; UPS Ground Saver $1.70,Billed above label cost $3.15; Carrier re-rate after label $1.70
MW1115BLK,Signature Unmatted Picture Frame - 11x15 / Black / 1 Pack,1,4.85,FedEx (service not itemized) $4.85,Billed above label cost $4.85
A281P532SHOW7174,"Americanflat Coastal Shower Curtain by PI Creative Art, 71"" x 74""",7,4.84,UPS (service not itemized) $3.55; FedEx (service not itemized) $1.29,Billed above label cost $4.84
PS1114MA5PK,Galleria Matted Picture Frame - 11x14 / Mahogany / 5 Pack,1,4.83,FedEx (service not itemized) $4.83,Billed above label cost $4.83
MP-PVC-LX-0608-BLACK-35,"Americanflat 6x8 Picture Frame with 3x5 Mat - Modern Design, Shatter-Resistant Glass - Black",6,4.78,UPS Ground Saver $4.78,Carrier re-rate after label $4.78
MP-ABS-SIF-1218-BLACK-3PK,"Americanflat 3 Pack 12x18 frame Lightweight Snap Frame, Front Loading Poster Frames - Black 12x18 poster frame",2,4.78,UPS (service not itemized) $4.76; FedEx (service not itemized) $0.02,Carrier re-rate after label $4.76; Billed above label cost $0.02
MP-MDF-MW-1114-BLACK-57,Americanflat 11x14 Picture Frame with 5x7 Mat Opening for Weddings Baby Showers and More - Black,2,4.77,USPS Ground Advantage $4.77,Carrier re-rate after label $4.77
WMW0808PNICKEL44,Americanflat 8x8 Picture Frame Shatter-Resistant Glass with Removable Mat - Home Gallery Wall Decor for Photos and Art Signature Collection - Silver,1,4.75,UPS Ground Saver $4.75,Billed above label cost $4.75
WMW0808PBRASS44,Americanflat 8x8 Picture Frame with Shatter-Resistant Glass - Use as 4x4 Frame with Mat or Display 8x8 Photo Without Mat - Gold,1,4.75,UPS Ground Saver $4.75,Billed above label cost $4.75
WMW2632BLK2228,Americanflat Hudson Poster Frame | With Mat | Acrylic Glazing | Lightweight - 26x32 / Black,3,4.74,FedEx (service not itemized) $4.74,Billed above label cost $4.74
BJ5060BLLHRTPNK,Americanflat 50x60 Jacquard Fleece Throw Blanket - Pink Heart Polyester Fleece,1,4.72,FedEx (service not itemized) $4.72,Billed above label cost $4.72
MP-PVC-PS-1117-BLACK-812-2PK,Americanflat 2 Pack of 11x17 Frames with 8x12 Mat - Plexiglass Cover - Black,4,4.72,UPS Ground Saver $4.54; FedEx (service not itemized) $0.18,Carrier re-rate after label $4.54; Billed above label cost $0.18
OVF1620BLK1114,Heirloom Picture Frame - 16x20 / Black / Ornate vintage frame,1,4.71,FedEx (service not itemized) $4.71,Billed above label cost $4.71
MW0505BLKNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 5x5,1,4.71,UPS Ground Saver $4.71,Carrier re-rate after label $4.71
LX1010BLK44,Americanflat 10x10 Picture Frame with Shatter-Resistant Glass - Use as 4x4 Frame with Mat or Display 10x10 Photo Without Mat - Streamline Collection,2,4.69,FedEx (service not itemized) $4.69,Billed above label cost $4.69
ABS1114BK3PK,Metropolitan Picture Frame - 11x14 / 3 Pack / Non-Matted,2,4.67,FedEx (service not itemized) $4.67,Billed above label cost $4.67
MW1222BLKNOMAT,Americanflat 12x22 Picture Frame with Polished Plexiglass - Gallery Style Frame with Engineered Wood - Signature Collection - Black,1,4.65,USPS Ground Advantage $4.65,Carrier re-rate after label $4.65
LX1012BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 10x12,3,4.64,UPS Ground Saver $3.95; FedEx (service not itemized) $0.69,Carrier re-rate after label $3.95; Billed above label cost $0.69
MP-ABS-SIF-2436-BLACK-3PK,Americanflat 3 Pack Lightweight 24x36 Poster Frames - Black,4,4.62,FedEx (service not itemized) $4.62,Billed above label cost $4.62
343126403058761756,Americanflat 2 Pack of Picture Frames with Mat - Plexiglass Cover,1,4.6,UPS Ground Saver $4.60,Carrier re-rate after label $4.60
